dataset,eval_model,model,score,attack,adv_a_position,removal,adv_per_query,success_injection_rate,inference_time,correct_answer_pct,incorrect_answer_pct,false_removal_rate,success_removal_rate
nq,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,5,0.00%,19.60,65.00%,1.00%,0.10%,1.00%
nq,contriever,mistralai/Mistral,dot,hotflip,start,drift,5,,,,,,
nq,contriever,mistralai/Mistral,dot,hotflip,end,drift,5,,,,,,
nq,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,5,,,,,,
nq,contriever,mistralai/Mistral,dot,hotflip,end,kmeans_ngram,5,0.02%,19.84,63.00%,5.00%,0.12%,0.98%
nq,contriever,mistralai/Mistral,dot,none,start,drift,1,0.00%,25.73,69.00%,1.00%,0.07%,1.00%
nq,contriever,mistralai/Mistral,dot,none,end,drift,1,0.00%,23.62,69.00%,1.00%,0.07%,1.00%
nq,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,1,0.00%,16.23,65.00%,1.00%,0.10%,1.00%
nq,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,1,0.00%,16.25,65.00%,1.00%,0.10%,1.00%
nq,contriever,mistralai/Mistral,dot,hotflip,start,drift,1,0.00%,27.06,67.00%,2.00%,0.06%,0.98%
nq,contriever,mistralai/Mistral,dot,hotflip,end,drift,1,0.01%,29.93,67.00%,3.00%,0.07%,0.94%
nq,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,1,0.19%,22.01,46.00%,38.00%,0.12%,0.03%
nq,contriever,mistralai/Mistral,dot,hotflip,end,kmeans_ngram,1,0.19%,15.94,44.00%,40.00%,0.12%,0.03%
nq,contriever,mistralai/Mistral,cos,none,start,drift,1,0.00%,14.55,68.00%,1.00%,0.38%,1.00%
nq,contriever,mistralai/Mistral,cos,none,end,drift,1,,,,,,
nq,contriever,mistralai/Mistral,cos,none,start,kmeans_ngram,1,0.00%,8.79,72.00%,0.00%,0.20%,1.00%
nq,contriever,mistralai/Mistral,cos,none,end,kmeans_ngram,1,0.00%,9.13,72.00%,0.00%,0.20%,1.00%
nq,contriever,mistralai/Mistral,cos,hotflip,start,drift,1,0.06%,17.46,49.00%,24.00%,0.36%,0.72%
nq,contriever,mistralai/Mistral,cos,hotflip,end,drift,1,,,,,,
nq,contriever,mistralai/Mistral,cos,hotflip,start,kmeans_ngram,1,,,,,,
nq,contriever,mistralai/Mistral,cos,hotflip,end,kmeans_ngram,1,0.18%,11.99,39.00%,54.00%,0.22%,0.09%
nq,contriever,mistralai/Mistral,cos,none,start,drift,5,0.00%,16.46,68.00%,1.00%,0.38%,1.00%
nq,contriever,mistralai/Mistral,cos,none,end,drift,5,0.00%,15.96,68.00%,1.00%,0.38%,1.00%
nq,contriever,mistralai/Mistral,cos,none,start,kmeans_ngram,5,0.00%,8.73,72.00%,0.00%,0.20%,1.00%
nq,contriever,mistralai/Mistral,cos,none,end,kmeans_ngram,5,0.00%,8.88,72.00%,0.00%,0.20%,1.00%
nq,contriever,mistralai/Mistral,cos,hotflip,start,drift,5,,,,,,
nq,contriever,mistralai/Mistral,cos,hotflip,end,drift,5,,,,,,
nq,contriever,mistralai/Mistral,cos,hotflip,start,kmeans_ngram,5,,,,,,
nq,contriever,mistralai/Mistral,cos,hotflip,end,kmeans_ngram,5,,,,,,
hotpotqa,contriever,mistralai/Mistral,dot,none,start,all,3,0.00%,3.14,71.00%,5.00%,,
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,drift,3,0.01%,38.50,68.00%,11.00%,0.09%,0.98%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,drift,3,0.03%,31.84,69.00%,12.00%,0.13%,0.95%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,drift,3,0.32%,26.87,33.00%,61.00%,0.30%,0.47%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,drift,3,0.48%,27.90,25.00%,70.00%,0.32%,0.20%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,3,,,,,,
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,kmeans_ngram,3,,,,,,
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,kmeans_ngram,3,0.00%,10.14,67.00%,6.00%,0.41%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,kmeans_ngram,3,0.00%,12.13,65.00%,6.00%,0.42%,0.99%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,none,3,0.60%,8.74,18.00%,78.00%,,
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,none,3,0.60%,7.63,25.00%,71.00%,,
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,none,3,0.60%,5.27,12.00%,87.00%,,
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,none,3,0.60%,5.23,19.00%,80.00%,,
hotpotqa,contriever,mistralai/Mistral,dot,none,start,none,3,0.00%,10.06,75.00%,5.00%,,
hotpotqa,contriever,mistralai/Mistral,dot,none,end,none,3,0.00%,10.26,75.00%,5.00%,,
hotpotqa,contriever,mistralai/Mistral,cos,none,end,none,3,0.00%,4.86,67.00%,7.00%,,
hotpotqa,contriever,mistralai/Mistral,cos,none,start,none,3,0.00%,4.82,67.00%,7.00%,,
hotpotqa,contriever,mistralai/Mistral,dot,none,start,drift,3,0.00%,24.40,73.00%,7.00%,0.08%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,end,drift,3,0.00%,24.02,73.00%,7.00%,0.08%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,start,drift,3,0.00%,15.36,67.00%,4.00%,0.32%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,end,drift,3,0.00%,15.19,67.00%,4.00%,0.32%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,start,kmeans_ngram,3,0.00%,8.01,67.00%,6.00%,0.33%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,3,0.00%,14.73,72.00%,6.00%,0.18%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,3,0.00%,15.25,72.00%,6.00%,0.18%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,end,kmeans_ngram,3,0.00%,4.72,67.00%,7.00%,0.00%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,start,drift,5,0.00%,31.86,73.00%,7.00%,0.08%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,end,drift,5,0.00%,30.97,73.00%,7.00%,0.08%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,5,0.00%,20.43,72.00%,6.00%,0.18%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,5,0.00%,20.65,72.00%,6.00%,0.18%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,drift,5,0.05%,44.16,65.00%,16.00%,0.17%,0.95%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,drift,5,0.03%,45.82,68.00%,14.00%,0.09%,0.97%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,5,0.01%,23.99,66.00%,9.00%,0.23%,0.99%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,kmeans_ngram,5,0.00%,19.81,68.00%,8.00%,0.22%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,start,drift,1,0.00%,26.33,73.00%,7.00%,0.08%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,end,drift,1,0.00%,24.33,73.00%,7.00%,0.08%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,start,kmeans_ngram,1,0.00%,14.78,72.00%,6.00%,0.18%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,none,end,kmeans_ngram,1,0.00%,14.67,72.00%,6.00%,0.18%,1.00%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,drift,1,0.00%,27.07,72.00%,9.00%,0.08%,0.98%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,drift,1,0.01%,26.86,70.00%,9.00%,0.10%,0.97%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,1,0.19%,22.19,39.00%,55.00%,0.19%,0.05%
hotpotqa,contriever,mistralai/Mistral,dot,hotflip,end,kmeans_ngram,1,0.19%,16.78,47.00%,48.00%,0.19%,0.04%
hotpotqa,contriever,mistralai/Mistral,cos,none,start,drift,1,0.00%,18.11,69.00%,2.00%,0.32%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,end,drift,1,0.00%,18.57,69.00%,2.00%,0.32%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,start,kmeans_ngram,1,0.00%,10.41,67.00%,6.00%,0.33%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,end,kmeans_ngram,1,0.00%,10.53,67.00%,6.00%,0.33%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,drift,1,0.11%,21.10,48.00%,41.00%,0.31%,0.45%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,drift,1,0.16%,17.18,41.00%,49.00%,0.32%,0.19%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,kmeans_ngram,1,,,,,,
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,kmeans_ngram,1,0.17%,9.31,37.00%,54.00%,0.35%,0.13%
hotpotqa,contriever,mistralai/Mistral,cos,none,start,drift,5,0.00%,18.98,69.00%,2.00%,0.32%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,end,drift,5,0.00%,18.26,69.00%,2.00%,0.32%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,start,kmeans_ngram,5,0.00%,10.47,67.00%,6.00%,0.33%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,none,end,kmeans_ngram,5,0.00%,10.76,67.00%,6.00%,0.33%,1.00%
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,drift,5,,,,,,
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,end,drift,5,,,,,,
hotpotqa,contriever,mistralai/Mistral,cos,hotflip,start,kmeans_ngram,5,,,,,,
nq,contriever,meta,dot,none,start,all,3,0.00%,4.75,67.00%,2.00%,,
nq,contriever,meta,dot,hotflip,start,drift,3,0.01%,32.14,67.00%,5.00%,0.06%,0.98%
nq,contriever,meta,dot,hotflip,end,drift,3,0.03%,34.45,65.00%,8.00%,0.11%,0.95%
nq,contriever,meta,cos,hotflip,start,drift,3,0.16%,25.47,42.00%,46.00%,0.33%,0.73%
nq,contriever,meta,cos,hotflip,end,drift,3,0.40%,23.42,20.00%,71.00%,0.38%,0.32%
nq,contriever,meta,dot,hotflip,start,kmeans_ngram,3,0.06%,15.79,55.00%,15.00%,0.12%,0.90%
nq,contriever,meta,dot,hotflip,end,kmeans_ngram,3,,,,,,
nq,contriever,meta,cos,hotflip,start,kmeans_ngram,3,0.01%,10.69,61.00%,7.00%,0.24%,0.98%
nq,contriever,meta,cos,hotflip,end,kmeans_ngram,3,0.00%,8.05,62.00%,3.00%,0.23%,0.99%
nq,contriever,meta,dot,hotflip,start,none,3,0.60%,4.87,18.00%,81.00%,,
nq,contriever,meta,dot,hotflip,end,none,3,0.60%,4.84,19.00%,79.00%,,
nq,contriever,meta,cos,hotflip,start,none,3,0.58%,4.09,10.00%,88.00%,,
nq,contriever,meta,cos,hotflip,end,none,3,0.60%,3.70,18.00%,81.00%,,
nq,contriever,meta,dot,none,start,none,3,0.00%,7.30,71.00%,0.00%,,
nq,contriever,meta,dot,none,end,none,3,0.00%,7.41,71.00%,0.00%,,
nq,contriever,meta,cos,none,start,none,3,0.00%,3.72,64.00%,1.00%,,
nq,contriever,meta,cos,none,end,none,3,0.00%,3.49,64.00%,1.00%,,
nq,contriever,meta,dot,none,start,drift,3,0.00%,24.37,70.00%,0.00%,0.07%,1.00%
nq,contriever,meta,dot,none,end,drift,3,0.00%,24.83,70.00%,0.00%,0.07%,1.00%
nq,contriever,meta,cos,none,start,drift,3,0.00%,17.29,70.00%,2.00%,0.38%,1.00%
nq,contriever,meta,cos,none,end,drift,3,0.00%,17.05,70.00%,2.00%,0.38%,1.00%
nq,contriever,meta,dot,none,start,kmeans_ngram,3,0.00%,13.26,69.00%,0.00%,0.10%,1.00%
nq,contriever,meta,dot,none,end,kmeans_ngram,3,0.00%,13.78,69.00%,0.00%,0.10%,1.00%
nq,contriever,meta,cos,none,start,kmeans_ngram,3,0.00%,8.32,67.00%,2.00%,0.20%,1.00%
nq,contriever,meta,cos,none,end,kmeans_ngram,3,0.00%,7.66,67.00%,2.00%,0.20%,1.00%
nq,contriever,meta,dot,none,start,drift,5,0.00%,23.80,70.00%,0.00%,0.07%,1.00%
nq,contriever,meta,dot,none,end,drift,5,0.00%,23.36,70.00%,0.00%,0.07%,1.00%
nq,contriever,meta,dot,none,start,kmeans_ngram,5,0.00%,13.70,69.00%,0.00%,0.10%,1.00%
nq,contriever,meta,dot,none,end,kmeans_ngram,5,0.00%,13.21,69.00%,0.00%,0.10%,1.00%
nq,contriever,meta,dot,hotflip,start,drift,5,,,,,,
nq,contriever,meta,dot,hotflip,end,drift,5,0.06%,36.56,62.00%,11.00%,0.12%,0.94%
nq,contriever,meta,dot,hotflip,start,kmeans_ngram,5,0.03%,16.85,58.00%,9.00%,0.12%,0.97%
nq,contriever,meta,dot,hotflip,end,kmeans_ngram,5,0.02%,21.06,63.00%,6.00%,0.12%,0.98%
nq,contriever,meta,dot,none,start,drift,1,0.00%,23.54,70.00%,0.00%,0.07%,1.00%
nq,contriever,meta,dot,none,end,drift,1,0.00%,24.07,70.00%,0.00%,0.07%,1.00%
nq,contriever,meta,dot,none,start,kmeans_ngram,1,0.00%,13.08,69.00%,0.00%,0.10%,1.00%
nq,contriever,meta,dot,none,end,kmeans_ngram,1,0.00%,13.95,69.00%,0.00%,0.10%,1.00%
nq,contriever,meta,dot,hotflip,start,drift,1,0.00%,24.81,70.00%,0.00%,0.06%,0.98%
nq,contriever,meta,dot,hotflip,end,drift,1,0.01%,25.44,67.00%,5.00%,0.07%,0.94%
nq,contriever,meta,dot,hotflip,start,kmeans_ngram,1,0.19%,13.57,36.00%,57.00%,0.12%,0.03%
nq,contriever,meta,dot,hotflip,end,kmeans_ngram,1,0.19%,17.97,34.00%,59.00%,0.12%,0.03%
nq,contriever,meta,cos,none,start,drift,1,0.00%,16.61,70.00%,2.00%,0.38%,1.00%
nq,contriever,meta,cos,none,end,drift,1,0.00%,16.91,70.00%,2.00%,0.38%,1.00%
nq,contriever,meta,cos,none,start,kmeans_ngram,1,0.00%,8.29,67.00%,2.00%,0.20%,1.00%
nq,contriever,meta,cos,none,end,kmeans_ngram,1,0.00%,8.39,67.00%,2.00%,0.20%,1.00%
nq,contriever,meta,cos,hotflip,end,drift,1,0.14%,17.38,32.00%,50.00%,0.38%,0.30%
nq,contriever,meta,cos,hotflip,start,drift,1,,,,,,
nq,contriever,meta,cos,hotflip,start,kmeans_ngram,1,0.18%,7.99,29.00%,64.00%,0.20%,0.08%
nq,contriever,meta,cos,hotflip,end,kmeans_ngram,1,0.18%,8.13,34.00%,59.00%,0.22%,0.09%
nq,contriever,meta,cos,none,start,drift,5,0.00%,18.14,71.00%,2.00%,0.38%,1.00%
nq,contriever,meta,cos,none,end,drift,5,0.00%,16.90,71.00%,2.00%,0.38%,1.00%
nq,contriever,meta,cos,none,start,kmeans_ngram,5,0.00%,9.28,66.00%,2.00%,0.20%,1.00%
nq,contriever,meta,cos,none,end,kmeans_ngram,5,0.00%,9.11,66.00%,2.00%,0.20%,1.00%
nq,contriever,meta,cos,hotflip,start,drift,5,,,,,,
nq,contriever,meta,cos,hotflip,end,drift,5,,,,,,
nq,contriever,meta,cos,hotflip,start,kmeans_ngram,5,,,,,,
nq,contriever,meta,cos,hotflip,end,kmeans_ngram,5,,,,,,
msmarco,contriever,meta,dot,none,start,all,3,0.00%,2.26,72.00%,7.00%,,
msmarco,contriever,meta,dot,hotflip,start,drift,3,0.02%,29.44,77.00%,11.00%,0.08%,0.97%
msmarco,contriever,meta,cos,hotflip,start,drift,3,0.11%,19.86,65.00%,23.00%,0.22%,0.81%
msmarco,contriever,meta,dot,hotflip,end,drift,3,0.05%,21.30,75.00%,10.00%,0.16%,0.92%
msmarco,contriever,meta,cos,hotflip,end,drift,3,0.42%,19.97,35.00%,61.00%,0.25%,0.29%
msmarco,contriever,meta,dot,hotflip,start,kmeans_ngram,3,,,,,,
msmarco,contriever,meta,dot,hotflip,end,kmeans_ngram,3,,,,,,
msmarco,contriever,meta,cos,hotflip,start,kmeans_ngram,3,0.04%,8.25,73.00%,12.00%,0.45%,0.93%
msmarco,contriever,meta,cos,hotflip,end,kmeans_ngram,3,0.03%,8.53,77.00%,8.00%,0.47%,0.95%
msmarco,contriever,meta,dot,hotflip,start,none,3,0.59%,4.27,21.00%,75.00%,,
msmarco,contriever,meta,dot,hotflip,end,none,3,0.59%,3.97,27.00%,69.00%,,
msmarco,contriever,meta,cos,hotflip,start,none,3,0.50%,3.54,26.00%,69.00%,,
msmarco,contriever,meta,cos,hotflip,end,none,3,0.58%,4.77,23.00%,71.00%,,
msmarco,contriever,meta,dot,none,end,none,3,0.00%,5.44,79.00%,5.00%,,
msmarco,contriever,meta,dot,none,start,none,3,0.00%,5.38,79.00%,5.00%,,
msmarco,contriever,meta,cos,none,end,none,3,0.00%,4.10,80.00%,5.00%,,
msmarco,contriever,meta,cos,none,start,none,3,0.00%,4.21,80.00%,5.00%,,
msmarco,contriever,meta,dot,none,start,drift,3,0.00%,22.98,80.00%,5.00%,0.09%,1.00%
msmarco,contriever,meta,dot,none,end,drift,3,0.00%,21.53,80.00%,5.00%,0.09%,1.00%
msmarco,contriever,meta,cos,none,start,drift,3,0.00%,21.43,77.00%,5.00%,0.25%,1.00%
msmarco,contriever,meta,cos,none,end,drift,3,0.00%,4.37,80.00%,5.00%,0.00%,1.00%
msmarco,contriever,meta,dot,none,start,kmeans_ngram,3,0.00%,8.97,80.00%,6.00%,0.30%,1.00%
msmarco,contriever,meta,cos,none,start,kmeans_ngram,3,0.00%,7.74,82.00%,5.00%,0.43%,1.00%
msmarco,contriever,meta,cos,none,end,kmeans_ngram,3,0.00%,3.92,80.00%,5.00%,0.00%,1.00%
msmarco,contriever,meta,dot,none,end,kmeans_ngram,3,0.00%,8.88,80.00%,6.00%,0.30%,1.00%
msmarco,contriever,meta,dot,none,start,drift,5,0.00%,21.47,80.00%,5.00%,0.09%,1.00%
msmarco,contriever,meta,dot,none,end,drift,5,0.00%,21.51,80.00%,5.00%,0.09%,1.00%
msmarco,contriever,meta,dot,none,start,kmeans_ngram,5,0.00%,8.96,80.00%,6.00%,0.30%,1.00%
msmarco,contriever,meta,dot,none,end,kmeans_ngram,5,0.00%,9.04,80.00%,6.00%,0.30%,1.00%
